SectionNum,Section,TopicLabel
12.4.2.4.4,12.4.2.4.4 Checks,Checks
12.4.2.4.5,12.4.2.4.5 Completion of Approach,Completion of Approach
12.4.2.5,12.4.2.5 Precision Approach Radar (PAR) – Provision of Service,Precision Approach Radar (PAR) – Provision of Service
12.4.2.5.2,12.4.2.5.2 Communications,Communications
12.4.2.5.3,12.4.2.5.3 Azimuth,Azimuth
12.4.2.5.4,12.4.2.5.4 Elevation,Elevation
12.4.2.5.5,12.4.2.5.5 Position,Position
12.4.2.5.6,12.4.2.5.6 Checks,Checks
12.4.2.5.7,12.4.2.5.7 Completion of Approach,Completion of Approach
12.4.2.5.8,12.4.2.5.8 Missed Approach,Missed Approach
12.4.3,12.4.3 SSR Phraseologies,SSR Phraseologies
12.4.3.2,12.4.3.2 ADS-B Capability,ADS-B Capability
12.4.3.3,12.4.3.3 Setting Transponder,Setting Transponder
12.4.3.4,12.4.3.4 Reselect Assigned Mode/Code,Reselect Assigned Mode/Code
12.5,12.5 Automatic Dependent Surveillance — Contract (ADS-C),Automatic Dependent Surveillance — Contract (ADS-C)
12.6,12.6 Alerting Phraseologies,Alerting Phraseologies
12.7,12.7 Ground Crew/Flight Crew Phraseologies,Ground Crew/Flight Crew Phraseologies
12.7.2.1,12.7.2.1 Prior to De-/Anti-Icing (Ground Crew ↔ Flight Crew),Prior to De-/Anti-Icing (Ground Crew ↔ Flight Crew)
12.7.2.2,12.7.2.2 Upon Concluding De-/Anti-Icing Procedure,Upon Concluding De-/Anti-Icing Procedure
12.7.2.3,12.7.2.3 Abnormal Operations,Abnormal Operations
